dataset,construction,model,method,context_budget_tokens,n,positive_inject,negative_clean,n_failed,roc_auc,pr_auc,tpr_at_fpr_5,tpr_at_fpr_10,best_f1,gain_ratio_mean_inject,gain_ratio_mean_clean,delta_loss_mean_inject,delta_loss_mean_clean
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,16,446,223,223,0,0.9269842546602586,0.9295635879561017,0.7443946188340808,0.8251121076233184,0.8598130841121495,-0.07022655816716361,0.12953301122943087,-0.3023183238880517,0.3949999638202479
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,32,446,223,223,0,0.9644674133805224,0.9653519254645386,0.8071748878923767,0.9103139013452914,0.90625,-0.056800512144111685,0.19900967365473848,-0.2479546070098877,0.5925014516163299
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,64,446,223,223,0,0.9851796738321703,0.9841678016845141,0.9372197309417041,0.968609865470852,0.9478458049886621,-0.0552235156268313,0.25201977097648,-0.23793716280984237,0.7580298166638533
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,128,446,223,223,0,0.992197711596855,0.9923252672758817,0.9596412556053812,0.9910313901345291,0.9605263157894737,-0.06064629896270213,0.27510719454416027,-0.2611575190796446,0.8275894822026582
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,256,446,223,223,0,0.990468338394096,0.9909876384384636,0.9461883408071748,0.968609865470852,0.9523809523809524,-0.06403536827223787,0.2777899327315886,-0.27348465128329835,0.8351755911993873
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,full,446,223,223,0,0.9904482294033663,0.9908515114471889,0.9461883408071748,0.968609865470852,0.9513274336283186,-0.06287009841974371,0.2777899327315886,-0.2677593551943655,0.8351755911993873
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,16,458,229,229,0,0.9173356724700139,0.9216494503315311,0.6986899563318777,0.7641921397379913,0.847107438016529,-0.06246259581700359,0.11754582403246686,-0.27809622922839033,0.3929684771200455
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,32,458,229,229,0,0.955511908621117,0.9562434392218326,0.8034934497816594,0.8602620087336245,0.8874172185430466,-0.06472191490707215,0.17367238655986225,-0.28942865055200834,0.5818732078939546
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,64,458,229,229,0,0.9722354646173795,0.9725849732910806,0.8733624454148472,0.9301310043668122,0.9227373068432672,-0.06399030400722863,0.2199613333007523,-0.29060669965619085,0.737203082142959
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,128,458,229,229,0,0.978032455521443,0.9783858646684027,0.8995633187772926,0.9432314410480349,0.933920704845815,-0.06166557045290452,0.24065821198360884,-0.28074322204923,0.8045956229538896
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,256,458,229,229,0,0.9778989721782574,0.9781491491310244,0.8995633187772926,0.9432314410480349,0.9318181818181818,-0.06147350871760599,0.24244956513181962,-0.27935712514485855,0.809744614180519
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,full,458,229,229,0,0.9778989721782574,0.9781491491310244,0.8995633187772926,0.9432314410480349,0.9318181818181818,-0.06147350871760599,0.24244956513181962,-0.27935712514485855,0.809744614180519
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,16,442,221,221,0,0.8817796523412706,0.8571845160388916,0.5294117647058824,0.6334841628959276,0.821505376344086,-0.05189001966920424,0.11957762853048812,-0.2597290423121388,0.39740169452865737
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,32,442,221,221,0,0.9336213427243504,0.924257002457321,0.7194570135746606,0.8506787330316742,0.8796498905908094,-0.060940256960962946,0.1781669262534149,-0.29779721600977005,0.5895580835471865
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,64,442,221,221,0,0.9581294404291476,0.9591883527310693,0.832579185520362,0.9095022624434389,0.9107551487414188,-0.07382704405141882,0.21112701189249777,-0.36547232968774856,0.6994397617303408
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,128,442,221,221,0,0.9645379906226326,0.9660882221187578,0.8597285067873304,0.918552036199095,0.9160997732426303,-0.07890218335046964,0.22724233806116342,-0.3910874317134667,0.7487130508973048
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,256,442,221,221,0,0.9652341270653754,0.9666753014461812,0.8597285067873304,0.9276018099547512,0.9181818181818182,-0.07941489479152793,0.2290620001270567,-0.3939821957463053,0.7545109334574566
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,full,442,221,221,0,0.9652341270653754,0.9666753014461812,0.8597285067873304,0.9276018099547512,0.9181818181818182,-0.07941489479152793,0.2290620001270567,-0.3939821957463053,0.7545109334574566
