dataset,construction,model,method,context_budget_tokens,n,positive_inject,negative_clean,roc_auc,pr_auc,tpr_at_fpr_5,tpr_at_fpr_10,best_f1,gain_ratio_mean_inject,gain_ratio_mean_clean,delta_loss_mean_inject,delta_loss_mean_clean
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,16,446,223,223,0.88002976130628,0.852246219937901,0.4663677130044843,0.5829596412556054,0.8275862068965517,-0.13186766020549895,0.0675303554885022,-0.5101809277128211,0.21360020626820792
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,32,446,223,223,0.9328560799533472,0.920081328914858,0.6233183856502242,0.8340807174887892,0.8758169934640524,-0.11826336395519291,0.14306036461880645,-0.45581723970148064,0.4111017395028084
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,64,446,223,223,0.9683082306099057,0.9641091550103876,0.8295964125560538,0.9327354260089686,0.9210526315789473,-0.11607535402680919,0.2001025437579182,-0.4457997570123373,0.5766300746143667
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,128,446,223,223,0.9787447967986487,0.976581825363211,0.9103139013452914,0.9596412556053812,0.9375000000000001,-0.12219672502175714,0.2246445115500059,-0.46902012825012207,0.6461897655452848
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,256,446,223,223,0.9795692654185687,0.9772374727888349,0.9103139013452914,0.9641255605381166,0.9427312775330396,-0.12549735251022312,0.2275857676486922,-0.48134729038974094,0.6537758782840096
NFCorpus,strict v1,Qwen2.5-7B,GainRatio,full,446,223,223,0.9775985843270527,0.9756662772976455,0.9013452914798207,0.9551569506726457,0.9380530973451328,-0.12438938934603173,0.2275857676486922,-0.4756219750562591,0.6537758782840096
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,16,458,229,229,0.8557235750653115,0.8424980675064729,0.43231441048034935,0.6157205240174672,0.8,-0.09130326001737214,0.07113848276383423,-0.365578672250806,0.2542013403630152
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,32,458,229,229,0.918575160656738,0.9095788380195594,0.6157205240174672,0.7729257641921398,0.8509719222462202,-0.09337881143883277,0.13041595907842063,-0.3769111164792656,0.44310604667038894
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,64,458,229,229,0.9473312865887379,0.9336275097207208,0.7379912663755459,0.8384279475982532,0.8813559322033898,-0.09200816812843254,0.17875437408026537,-0.3780891978584523,0.5984359201385465
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,128,458,229,229,0.9573997444747431,0.9432776732837067,0.759825327510917,0.868995633187773,0.8930817610062893,-0.08948591313026498,0.2003867870076363,-0.36822569734664984,0.6658284677168167
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,256,458,229,229,0.9558360824545681,0.9406823010858503,0.7510917030567685,0.868995633187773,0.8927789934354485,-0.08924252927402224,0.20216634832912322,-0.366839592113245,0.6709774537378003
TREC-COVID,strict v3,Qwen2.5-7B,GainRatio,full,458,229,229,0.9558360824545681,0.9406823010858503,0.7510917030567685,0.868995633187773,0.8927789934354485,-0.08924252927402224,0.20216634832912322,-0.366839592113245,0.6709774537378003
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,16,442,221,221,0.8400524149792185,0.8253760711706486,0.4343891402714932,0.5746606334841629,0.7837837837837839,-0.07531431089082315,0.0863150872103828,-0.33852870431960436,0.2882091020027437
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,32,442,221,221,0.9068610388812678,0.9030907992557708,0.6334841628959276,0.7647058823529411,0.8464912280701754,-0.08453749988259121,0.14735255913903308,-0.37659684565272267,0.4803654753784249
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,64,442,221,221,0.9358325996601217,0.93675052740236,0.7330316742081447,0.8506787330316742,0.8814317673378076,-0.09806171552962094,0.18188249119876765,-0.4442720477937034,0.5902471545055441
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,128,442,221,221,0.9453123400421776,0.9454923933213223,0.755656108597285,0.8914027149321267,0.89749430523918,-0.10313564707115314,0.19870229769283546,-0.46988715952877547,0.6395204210173491
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,256,442,221,221,0.9458446796748633,0.9458841325566746,0.751131221719457,0.8959276018099548,0.8984198645598195,-0.10369869247080808,0.2006325203312325,-0.4727819192463456,0.645318303847205
Natural Questions,sampled strict v2,Qwen2.5-7B,GainRatio,full,442,221,221,0.9458446796748633,0.9458841325566746,0.751131221719457,0.8959276018099548,0.8984198645598195,-0.10369869247080808,0.2006325203312325,-0.4727819192463456,0.645318303847205
