dataset,construction,method,model,n,positive_inject,negative_clean,roc_auc,pr_auc,tpr_at_fpr_5,tpr_at_fpr_10,best_f1,score_mean_inject,score_mean_clean,delta_loss_mean_inject,delta_loss_mean_clean,gain_ratio_mean_inject,gain_ratio_mean_clean
NFCorpus,strict v1,DeltaLoss,distilgpt2,446,223,223,0.78471314524724,0.82536993782269,0.5201793721973094,0.5336322869955157,0.7159663865546219,-0.045167062314636505,-0.6157706019055148,0.045167062314636505,0.6157706019055148,0.009056499997354854,0.14620459798042756
NFCorpus,strict v1,GainRatio,distilgpt2,446,223,223,0.807235214864566,0.8378354481635991,0.5112107623318386,0.547085201793722,0.732919254658385,-0.009056499997354854,-0.14620459798042756,0.045167062314636505,0.6157706019055148,0.009056499997354854,0.14620459798042756
TREC-COVID,strict v3,DeltaLoss,distilgpt2,458,229,229,0.7798287599397418,0.8095077590405783,0.4585152838427948,0.48034934497816595,0.7169179229480738,-0.14675213676352689,-0.7429510745419164,0.14675213676352689,0.7429510745419164,0.027714359306435146,0.1591613912761629
TREC-COVID,strict v3,GainRatio,distilgpt2,458,229,229,0.8019297877614843,0.823382217840874,0.4585152838427948,0.49344978165938863,0.7315315315315315,-0.027714359306435146,-0.1591613912761629,0.14675213676352689,0.7429510745419164,0.027714359306435146,0.1591613912761629
Natural Questions,sampled strict v2,DeltaLoss,distilgpt2,442,221,221,0.8944739051206979,0.9034904822929821,0.7420814479638009,0.8009049773755657,0.8495575221238938,0.17133455794321467,-0.5361743857957658,-0.17133455794321467,0.5361743857957658,-0.03517385067963845,0.12049478277905391
Natural Questions,sampled strict v2,GainRatio,distilgpt2,442,221,221,0.9098298560635532,0.9068747300612543,0.755656108597285,0.8371040723981901,0.8680089485458613,0.03517385067963845,-0.12049478277905391,-0.17133455794321467,0.5361743857957658,-0.03517385067963845,0.12049478277905391
NFCorpus,strict v1,DeltaLoss,gpt2-medium,446,223,223,0.895232158297975,0.9189853667688672,0.7085201793721974,0.7533632286995515,0.8159645232815964,0.09704252850314427,-0.6987692534656268,-0.09704252850314427,0.6987692534656268,-0.023823226465021354,0.19509318475622847
NFCorpus,strict v1,GainRatio,gpt2-medium,446,223,223,0.9235657262362001,0.936684001741142,0.7174887892376681,0.7847533632286996,0.8487584650112867,0.023823226465021354,-0.19509318475622847,-0.09704252850314427,0.6987692534656268,-0.023823226465021354,0.19509318475622847
TREC-COVID,strict v3,DeltaLoss,gpt2-medium,458,229,229,0.8444919051886882,0.8774957053158203,0.5895196506550219,0.6244541484716157,0.7642276422764228,-0.09105014280460808,-0.7933388131154157,0.09105014280460808,0.7933388131154157,0.016778593461944154,0.19530147210351906
TREC-COVID,strict v3,GainRatio,gpt2-medium,458,229,229,0.8774622909555501,0.8995316625725731,0.5982532751091703,0.7030567685589519,0.7957446808510639,-0.016778593461944154,-0.19530147210351906,0.09105014280460808,0.7933388131154157,0.016778593461944154,0.19530147210351906
Natural Questions,sampled strict v2,DeltaLoss,gpt2-medium,442,221,221,0.9181425441739521,0.9351528260289146,0.7828054298642534,0.8280542986425339,0.8657407407407407,0.1888445588798005,-0.6732283070076645,-0.1888445588798005,0.6732283070076645,-0.04200523798396542,0.1673566338109747
Natural Questions,sampled strict v2,GainRatio,gpt2-medium,442,221,221,0.9423639974611495,0.9495639739862374,0.8190045248868778,0.8823529411764706,0.89438202247191,0.04200523798396542,-0.1673566338109747,-0.1888445588798005,0.6732283070076645,-0.04200523798396542,0.1673566338109747
NFCorpus,strict v1,DeltaLoss,Qwen2.5-7B,446,223,223,0.9668201652959038,0.9730074641940427,0.8789237668161435,0.8923766816143498,0.9137529137529138,0.2677593551943655,-0.8351755911993873,-0.2677593551943655,0.8351755911993873,-0.06287009841974371,0.2777899327315886
NFCorpus,strict v1,GainRatio,Qwen2.5-7B,446,223,223,0.9904482294033663,0.9908515114471889,0.9461883408071748,0.968609865470852,0.9513274336283186,0.06287009841974371,-0.2777899327315886,-0.2677593551943655,0.8351755911993873,-0.06287009841974371,0.2777899327315886
TREC-COVID,strict v3,DeltaLoss,Qwen2.5-7B,458,229,229,0.9587727160046527,0.9660159414353715,0.8296943231441049,0.8995633187772926,0.9070796460176991,0.27935712514485855,-0.809744614180519,-0.27935712514485855,0.809744614180519,-0.06147350871760599,0.24244956513181962
TREC-COVID,strict v3,GainRatio,Qwen2.5-7B,458,229,229,0.9778989721782574,0.9781491491310244,0.8995633187772926,0.9432314410480349,0.9318181818181818,0.06147350871760599,-0.24244956513181962,-0.27935712514485855,0.809744614180519,-0.06147350871760599,0.24244956513181962
Natural Questions,sampled strict v2,DeltaLoss,Qwen2.5-7B,442,221,221,0.9435924735365779,0.9550688055026902,0.8552036199095022,0.8823529411764706,0.8999999999999999,0.3939821957463053,-0.7545109334574566,-0.3939821957463053,0.7545109334574566,-0.07941489479152793,0.2290620001270567
Natural Questions,sampled strict v2,GainRatio,Qwen2.5-7B,442,221,221,0.9652341270653754,0.9666753014461812,0.8597285067873304,0.9276018099547512,0.9181818181818182,0.07941489479152793,-0.2290620001270567,-0.3939821957463053,0.7545109334574566,-0.07941489479152793,0.2290620001270567
